Counter-Strike:Global Offensive,Шутер,Win/MacOS/Linux,2012.0,15.0
Dota2,Стратегия,Win/MacOS,2005.0,0.0
PUBG:BATTLEGROUNDS,Выживание,Win/MacOS/Xbox One/PS4/Stadia/iOS/Android,2017.0,0.0
Rust,Выживание,Win/MacOS/Linux,2013.0,40.0
Grand Theft Auto V,Экшн,Win/PS4/Xbox One/PS3/Xbox 360,2013.0,40.0
Team Fortress 2,Экшен,Win/MacOS/Linux,2007.0,0.0
